NIVEL_DETALLE,SECTOR_NOMBRE,PLIEGO,EJECUTORA,TIPO_ACT_PROY_NOMBRE,GENERICA,FUENTE_FINANCIAMIENTO,PRODUCTO_PROYECTO,PROGRAMA_PPTO,pim,certificado,comp_anual,comprometido,devengado,FECHA_ACTUALIZACION_ARCHIVO
Detalle UE - MINEM,ENERGIA Y MINAS,016. M. DE ENERGIA Y MINAS,001. MINISTERIO DE ENERGIA Y MINAS-CENTRAL,ACTIVIDAD,,,,,733339121.0,669003385.12,624410243.03,592806525.7099994,555546825.1199994,2026-08-23 08:44:54
Detalle UE - MINEM,ENERGIA Y MINAS,016. M. DE ENERGIA Y MINAS,005. MEM - DIRECCION GENERAL DE ELECTRIFICACION RURAL,PROYECTO,,,,,296176268.0,268844615.1,182005066.97000003,180546474.65,179103500.35000002,2026-08-23 08:44:54
Detalle UE - MINEM,ENERGIA Y MINAS,016. M. DE ENERGIA Y MINAS,005. MEM - DIRECCION GENERAL DE ELECTRIFICACION RURAL,ACTIVIDAD,,,,,144210980.0,83535395.03,72691402.01,69578060.75,67637055.97,2026-08-23 08:44:54
Detalle UE - MINEM,ENERGIA Y MINAS,221. INSTITUTO GEOLOGICO MINERO Y METALURGICO,001. INSTITUTO GEOLOGICO MINERO Y METALURGICO,ACTIVIDAD,,,,,67555749.0,61361821.580000006,60734684.65000001,49165892.370000005,41687230.989999995,2026-08-23 08:44:54
Detalle UE - MINEM,ENERGIA Y MINAS,220. INSTITUTO PERUANO DE ENERGIA NUCLEAR,001. INSTITUTO PERUANO DE ENERGIA NUCLEAR,ACTIVIDAD,,,,,49444705.0,44337860.87999999,44050211.519999996,33481847.88,28233674.44000001,2026-08-23 08:44:54
Detalle UE - MINEM,ENERGIA Y MINAS,016. M. DE ENERGIA Y MINAS,001. MINISTERIO DE ENERGIA Y MINAS-CENTRAL,PROYECTO,,,,,26410309.0,15321983.18,11129983.18,11129982.38,6326371.45,2026-08-23 08:44:54
Detalle UE - MINEM,ENERGIA Y MINAS,220. INSTITUTO PERUANO DE ENERGIA NUCLEAR,001. INSTITUTO PERUANO DE ENERGIA NUCLEAR,PROYECTO,,,,,7585611.0,5345254.739999999,4945253.74,4945253.74,4229253.739999999,2026-08-23 08:44:54
Detalle UE - MINEM,ENERGIA Y MINAS,221. INSTITUTO GEOLOGICO MINERO Y METALURGICO,001. INSTITUTO GEOLOGICO MINERO Y METALURGICO,PROYECTO,,,,,116700.0,110370.0,110370.0,110370.0,0.0,2026-08-23 08:44:54
FuenteFinanciamiento - MINEM,ENERGIA Y MINAS,,,,,5. RECURSOS DETERMINADOS,,,503642765.0,478511079.75,425038302.6000001,424929682.91999996,411822108.64000005,2026-08-23 08:44:54
FuenteFinanciamiento - MINEM,ENERGIA Y MINAS,,,,,2. RECURSOS DIRECTAMENTE RECAUDADOS,,,492751469.0,407593417.55999994,355487247.4099997,329434656.82999957,304224425.37999964,2026-08-23 08:44:54
FuenteFinanciamiento - MINEM,ENERGIA Y MINAS,,,,,1. RECURSOS ORDINARIOS,,,235394258.0,209933089.03,172739608.71,141958763.99000007,121870502.38,2026-08-23 08:44:54
FuenteFinanciamiento - MINEM,ENERGIA Y MINAS,,,,,3. RECURSOS POR OPERACIONES OFICIALES DE CREDITO,,,87444610.0,50933159.78,46331883.629999995,44981910.989999995,44622346.989999995,2026-08-23 08:44:54
FuenteFinanciamiento - MINEM,ENERGIA Y MINAS,,,,,4. DONACIONES Y TRANSFERENCIAS,,,5606341.0,889939.51,480172.75,459392.75,224528.67,2026-08-23 08:44:54
Generica - MINEM,ENERGIA Y MINAS,,,,4. DONACIONES Y TRANSFERENCIAS,,,,453895805.0,389470117.72,347004080.86,347004080.86,347004080.86,2026-08-23 08:44:54
Generica - MINEM,ENERGIA Y MINAS,,,,6. ADQUISICION DE ACTIVOS NO FINANCIEROS,,,,337179562.0,292590835.95,201151118.81,199692525.69000003,191847332.49000007,2026-08-23 08:44:54
Generica - MINEM,ENERGIA Y MINAS,,,,1. PERSONAL Y OBLIGACIONES SOCIALES,,,,175801917.0,145086035.56999996,143469961.98,89334987.34000006,86550811.48000008,2026-08-23 08:44:54
Generica - MINEM,ENERGIA Y MINAS,,,,5. OTROS GASTOS,,,,175642188.0,174420587.28,169950134.29000002,169949133.69000003,169948533.69000003,2026-08-23 08:44:54
Generica - MINEM,ENERGIA Y MINAS,,,,3. BIENES Y SERVICIOS,,,,171899753.0,137663725.34000003,130231388.10000001,127645351.00000003,80012805.36,2026-08-23 08:44:54
Generica - MINEM,ENERGIA Y MINAS,,,,2. PENSIONES Y OTRAS PRESTACIONES SOCIALES,,,,10420218.0,8629383.77,8270531.06,8138328.9,7400348.180000002,2026-08-23 08:44:54
ProgramaPptal - MINEM,ENERGIA Y MINAS,,,,,,,9002. ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS,751503369.0,685778956.8100002,669586071.7100003,638638056.13,598811506.5799998,2026-08-23 08:44:54
ProgramaPptal - MINEM,ENERGIA Y MINAS,,,,,,,0046. ACCESO Y USO DE LA ELECTRIFICACION RURAL,330747202.0,285653301.26,195146830.39000005,194912587.5400001,193472755.76000005,2026-08-23 08:44:54
ProgramaPptal - MINEM,ENERGIA Y MINAS,,,,,,,9001. ACCIONES CENTRALES,181160511.0,123695647.35000001,117076822.34,93520701.83000003,77575272.04000004,2026-08-23 08:44:54
ProgramaPptal - MINEM,ENERGIA Y MINAS,,,,,,,0120. REMEDIACION DE PASIVOS AMBIENTALES MINEROS,35452310.0,34441308.0,423519.76,381729.59,337579.59,2026-08-23 08:44:54
ProgramaPptal - MINEM,ENERGIA Y MINAS,,,,,,,0126. FORMALIZACION MINERA DE LA PEQUEÑA MINERIA Y MINERIA ARTESANAL,14849735.0,9912359.54,9604799.63,7614369.21,7125992.260000001,2026-08-23 08:44:54
ProgramaPptal - MINEM,ENERGIA Y MINAS,,,,,,,0068. REDUCCION DE VULNERABILIDAD Y ATENCION DE EMERGENCIAS POR DESASTRES,6555301.0,4991644.74,4876626.350000001,4126422.7699999996,3230344.8499999996,2026-08-23 08:44:54
ProgramaPptal - MINEM,ENERGIA Y MINAS,,,,,,,"0137. DESARROLLO DE LA CIENCIA, TECNOLOGIA E INNOVACION TECNOLOGICA",4571015.0,3387467.9300000006,3362544.92,2570540.4099999997,2210460.9799999995,2026-08-23 08:44:54
Ranking Sectores,AGRARIO Y DE RIEGO,,,ACTIVIDAD,,,,,2009619437.0,1540075480.9699998,1437120325.709996,1185140311.8499913,1026415788.8199912,2026-08-23 08:44:54
Ranking Sectores,AGRARIO Y DE RIEGO,,,PROYECTO,,,,,871318761.0,776120206.4100008,722211944.0999997,528172947.86000013,448660815.7700001,2026-08-23 08:44:54
Ranking Sectores,AMBIENTAL,,,ACTIVIDAD,,,,,818300324.0,748627696.9500003,701062224.1699998,545341825.1599958,463593147.6699959,2026-08-23 08:44:54
Ranking Sectores,AMBIENTAL,,,PROYECTO,,,,,199343412.0,184987720.22000003,170382590.74000004,164192363.01,122859245.07,2026-08-23 08:44:54
Ranking Sectores,COMERCIO EXTERIOR Y TURISMO,,,ACTIVIDAD,,,,,572967221.0,523498115.85,468583790.76000005,434231491.6999999,306612658.5100002,2026-08-23 08:44:54
Ranking Sectores,COMERCIO EXTERIOR Y TURISMO,,,PROYECTO,,,,,98653991.0,96827771.71999998,96806971.86999999,96546008.66,58656847.94000001,2026-08-23 08:44:54
Ranking Sectores,CONGRESO DE LA REPUBLICA,,,ACTIVIDAD,,,,,1857734877.0,1514177873.5699987,1474767586.3999999,1006571118.9699998,961146684.5299999,2026-08-23 08:44:54
Ranking Sectores,CONGRESO DE LA REPUBLICA,,,PROYECTO,,,,,29185578.0,29039157.740000002,27959026.91,26542778.279999997,24702071.470000003,2026-08-23 08:44:54
Ranking Sectores,CONTRALORIA GENERAL,,,ACTIVIDAD,,,,,1031091886.0,966575053.5700006,950810644.3600003,617162247.7599988,555058060.1799989,2026-08-23 08:44:54
Ranking Sectores,CONTRALORIA GENERAL,,,PROYECTO,,,,,49437807.0,39535362.59000001,33949572.0,33949572.0,17691346.02,2026-08-23 08:44:54
Ranking Sectores,CULTURA,,,ACTIVIDAD,,,,,654311840.0,607624113.5000002,560633962.5300001,421960872.1099996,369773636.7399995,2026-08-23 08:44:54
Ranking Sectores,CULTURA,,,PROYECTO,,,,,78100224.0,77481567.42,76748773.36000001,64316623.44000001,41576016.61,2026-08-23 08:44:54
Ranking Sectores,DEFENSA,,,ACTIVIDAD,,,,,9951686317.0,9594036860.810001,9297350203.63,6397168437.140038,6063833695.97003,2026-08-23 08:44:54
Ranking Sectores,DEFENSA,,,PROYECTO,,,,,2651091116.0,2621472015.91,2224079322.85,2204596331.5,2127289606.56,2026-08-23 08:44:54
Ranking Sectores,DEFENSORIA DEL PUEBLO,,,ACTIVIDAD,,,,,105514657.0,102860079.55,101830820.64,65973340.70999998,62587797.97999997,2026-08-23 08:44:54
Ranking Sectores,DEFENSORIA DEL PUEBLO,,,PROYECTO,,,,,3017657.0,2922896.23,2194327.74,2188377.8499999996,1582562.78,2026-08-23 08:44:54
Ranking Sectores,DESARROLLO E INCLUSION SOCIAL,,,ACTIVIDAD,,,,,7423584137.0,7204106704.1399975,6986946962.459994,5749816666.480009,4564069751.960013,2026-08-23 08:44:54
Ranking Sectores,DESARROLLO E INCLUSION SOCIAL,,,PROYECTO,,,,,49322887.0,47261651.72000001,13907823.56,13892723.08,12273041.05,2026-08-23 08:44:54
